"m","p","tau","rho","width_us","width_riqite","cover_us","cover_riqite","quants_check"
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.74174174174174,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.3013013013013,-1.093,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.06106106106106,-0.586,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.820820820820821,-0.211,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.54054054054054,0.206,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.42042042042042,0.709,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.62262262262262,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.14214214214214,-1.83,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.78178178178178,-1.2,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.54154154154154,-0.673,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.1011011011011,-0.251,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.900900900900901,0.4,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.94194194194194,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.58158158158158,-1.4,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.22122122122122,-0.637,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.7007007007007,-0.027,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.34034034034034,0.546,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.06006006006006,1.048,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.02202202202202,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.46146146146146,-1.222,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.980980980980981,-0.389,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.780780780780781,-0.023,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.62062062062062,0.338,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.5005005005005,0.903,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.62162162162162,-2.491,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.26126126126126,-1.181,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.940940940940941,-0.641,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.66066066066066,-0.299,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.54054054054054,0.082,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.26026026026026,0.908,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.7027027027027,-3.626,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.1021021021021,-1.654,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.62162162162162,-1.213,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.5015015015015,-0.738,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.26126126126126,-0.291,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.980980980980981,0.359,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.42142142142142,-2.151,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.02102102102102,-0.81,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.74074074074074,-0.512,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.5005005005005,-0.169,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.42042042042042,0.068,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.14014014014014,0.433,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.5015015015015,-1.178,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.1011011011011,-0.379,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.7007007007007,0.078,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.34034034034034,0.592,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.14014014014014,1.057,TRUE,TRUE,0.9
100,0.6,1,0.1,0.26026026026026,1.705,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.1021021021021,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.74174174174174,-2.033,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.02102102102102,-0.816,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.66066066066066,-0.143,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.62062062062062,0.24,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.46046046046046,0.91,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.02202202202202,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.54154154154154,-1.461,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.3013013013013,-0.636,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.7007007007007,-0.158,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.54054054054054,0.264,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.26026026026026,0.931,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.62262262262262,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.18218218218218,-1.46,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.82182182182182,-0.799,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.58158158158158,-0.358,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.46146146146146,0.068,TRUE,TRUE,0.9
100,0.6,1,0.1,-1.1011011011011,0.726,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.18118118118118,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.02102102102102,-1.106,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.900900900900901,-0.74,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.7007007007007,-0.318,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.38038038038038,0.11,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.22022022022022,0.608,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
